title,price,img_src,link,author,publisher,intro
에냐도르의 전설,"13,320원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/001/16300101.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EB%AF%B8%EB%9D%BC+%EB%B0%9C%EB%A0%8C%ED%8B%B4&frameFilterType=1&frameFilterValue=4660451, 미라 발렌틴,사일런스북,"-네 종족 젊은이들의 거침없는 모험담네 종족의 왕자
서로 다른 야망
하나의 운명

수 세기 동안 엘프, 드래곤 그리고 데몬은 에냐도르의 권력을 얻기 위해 싸워왔다. 인간은 일찌감치 엘프에 복속되어 노예로 살았다. 장남으로 태어난 인간은 엘프에게 징발당해 드래곤과의 전쟁터로 끌려갔다. 죽음이라는 예외 없는 결과에 인간 청년들은 좌절했다. 그러나 고아로 자란 트리스탄은 잔혹한 엘프에 맞서 저항했다. 학대와 탄압에 절대 굴하지 않는 트리스탄의 패기와 열정은 흥미진진한 모험으로 이어지고…"
소설 예수 2,"14,220원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/209/16320978.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9C%A4%EC%84%9D%EC%B2%A0&frameFilterType=1&frameFilterValue=6288, 윤석철,나남,
소설 예수 1,"13,320원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/209/16320976.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9C%A4%EC%84%9D%EC%B2%A0&frameFilterType=1&frameFilterValue=6288, 윤석철,나남,
죄악의 열매,"12,420원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/258/16325834.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%B6%88%EC%B6%88&frameFilterType=1&frameFilterValue=3517895, 춈춈,가하,"“한유진은 당신 어머니에게도 내 아버지에게도 기적 같은 아이라. 내가 어떻게 감히 당신을, 그들의 기적을 저주하고 미워할 수 있겠어요?”한유진을 누나라 부르며 그녀의 곁을 맴도는 남자, 도윤우. 대현의 후계자이자 백 여사의 전폭적인 애정과 사랑을 받는 유일한 혈육인 그가, 그녀를 만났다. 제 엄마를 살리고자 같은 집, 맞은편 방에서 오랜 시간 가면을 쓰고 살아온 한유진에게 은밀한 제안을 건넨다.“대현은 할머니 손에 있어요. 할머니 말이라면 모두가 죽는 시늉을 하"
토마스 만 단편 전집. 1(부클래식 82),"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/252/16325219.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%ED%86%A0%EB%A7%88%EC%8A%A4+%EB%A7%8C&frameFilterType=1&frameFilterValue=6000004399, 토마스 만,부북스,"카프카류의 초현실적 소설이 등장하기 직전까지 독일 산문문학을 최고의 경지에까지 끌어올린 전설적 스토리텔러로서 세계적 문호의 반열에 오른 20세기 최고의 작가, 토마스만의 단편 전집이다."
나스타샤(개정판)(양장본 HardCover),"15,300원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/181/16318146.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%A1%B0%EC%A7%80%EC%88%98&frameFilterType=1&frameFilterValue=1761537, 조지수,북핀,"아름다운 캐나다의 대자연에서 펼쳐지는 진정한 사랑의 울림캐나다를 배경으로 펼쳐지는 우정과 사랑이야기. 이미 십 수권의 저서를 가진 저자는 비교적 잘 알려진 저술가지만, 이 책에서는 조지수라는 필명을 사용하고 있다. 이른 나이에 유학을 떠나 캐나다에 정착하여 대학에서 학생들을 가르치는 주인공 조지는 젊은 시절 대부분을 외국에서 보낸 저자의 삶이 어느 정도 투영된 인물이라고 볼 수 있다.
소설의 전반부는 자연의 아름다움, 삶에 대한 성찰, 조지와 관련한 여러 인물들과의 이야기가 캐나다를 배경으로 펼쳐진다. 이후 조"
무등산에 묻다,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/233/16323309.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9D%B4%EC%A3%BC%EC%88%99&frameFilterType=1&frameFilterValue=4236242, 이주숙,지식과감성,큰 범죄를 조사하고 터트리는 데 협조하면 나의 뒤에 도사린 더 큰 어둠이 가려지고 사랑하는 그를 얻을 수 있을 줄 알았다. 깊은 내막을 들여다보고 진실을 파헤쳤던 나는 무엇을 쫓고 있었는가. 무등산 한 자락에서 펼쳐지는 그 어느 날의 일들을 이 책을 통해 만나 보기 바란다.
로봇 교사 1,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/189/16318985.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9D%B4%ED%9D%AC%EC%A4%80&frameFilterType=1&frameFilterValue=39630, 이희준,별숲,
일주일 만에 사랑할 순 없다(김동식 소설집 8),"11,700원(-10%)",https://bookthumb-phinf.pstatic.net/cover/162/936/16293677.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EA%B9%80%EB%8F%99%EC%8B%9D&frameFilterType=1&frameFilterValue=5000034239, 김동식,요다,"2018년 『회색 인간』으로 데뷔하여 한국 문단에 큰 충격을 주었던 김동식의 신작 소설집.카카오페이지 연재 당시 반응이 좋았던 작품들과 작가의 색다른 시도가 돋보이는 미공개 신작 등 23편의 단편을 모았다.
표제작 「일주일 만에 사랑할 순 없다」는 지구 멸망을 한 주 앞두고 사랑에 빠진 두 남녀의 생존 로맨스다. SF, 공포, 스릴러, 판타지 등 장르를 넘나드는 김동식 작가가 처음으로 로맨스 장르에 도전했다. 기존 김동식 소설과는 다른 서정적이고 로맨틱한 분위기의 소설로, 특유의 상상력과 허를 찌르는 반전을 더해 이야기의"
로봇 교사 2,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/189/16318987.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9D%B4%ED%9D%AC%EC%A4%80&frameFilterType=1&frameFilterValue=39630, 이희준,별숲,
